security,datetime,open,high,low,close,RSI,STOCHASTIC,ATR
EUR_USD,2011-03-19 21:00:00,1.4196,1.41985,1.41819,1.41667,63.89386658199937,81.56878812777816,0.013971768833649754
EUR_USD,2011-03-20 21:00:00,1.42252,1.424,1.41962,1.4139,62.8576146437051,90.04023985242681,0.012643415066919772
EUR_USD,2011-03-21 21:00:00,1.41966,1.42484,1.42245,1.41794,63.7447740354109,85.1238625977829,0.012302732053535853
EUR_USD,2011-03-22 21:00:00,1.4088,1.42145,1.4198,1.40853,60.27575987860653,75.59022199133504,0.010544185642828708
EUR_USD,2011-03-23 21:00:00,1.4177,1.42201,1.40872,1.4054,59.1677978848875,68.49841199497733,0.011131348514262954
EUR_USD,2011-03-24 21:00:00,1.40882,1.41937,1.41772,1.40555,59.204973620052364,59.347071423295624,0.011699078811410373
EUR_USD,2011-03-25 21:00:00,1.40882,1.40882,1.40882,1.40882,60.025735162657725,59.561267449589955,0.010013263049128276
EUR_USD,2011-03-26 21:00:00,1.40408,1.40882,1.40882,1.40208,57.55662481276738,57.1090922520126,0.008010610439302622
EUR_USD,2011-03-27 21:00:00,1.40871,1.41154,1.40414,1.40213,57.57001877951275,54.58305635571304,0.008300488351442103
EUR_USD,2011-03-28 21:00:00,1.41132,1.41488,1.40868,1.40471,58.27291356843052,51.54738163823018,0.009190390681153647
EUR_USD,2011-03-29 21:00:00,1.41273,1.41476,1.41135,1.40524,58.41929592798092,53.88137971785204,0.009362312544922941
EUR_USD,2011-03-30 21:00:00,1.41568,1.42332,1.41276,1.41164,60.16497011610115,58.040465498583224,0.01110585003593833
EUR_USD,2011-03-31 21:00:00,1.42339,1.42455,1.4157,1.40621,58.02679605964225,55.104725068795254,0.01146668002875066
EUR_USD,2011-04-01 21:00:00,1.42339,1.42339,1.42339,1.42339,62.400307169822455,68.19571865443388,0.012609344023000523
EUR_USD,2011-04-02 21:00:00,1.42317,1.42425,1.42339,1.42089,61.43664303486725,77.03555045871519,0.010259475218400435
EUR_USD,2011-04-03 21:00:00,1.42206,1.42687,1.4232,1.41932,60.826384486231206,88.02106247364196,0.009403580174720368
EUR_USD,2011-04-04 21:00:00,1.42226,1.42458,1.42204,1.41518,59.22169440235512,78.84955460302207,0.008574864139776303
EUR_USD,2011-04-05 21:00:00,1.43318,1.43496,1.42224,1.42088,60.69844341428557,68.29798737140904,0.010815891311821025
EUR_USD,2011-04-06 21:00:00,1.43082,1.43371,1.43315,1.42427,61.555018171952035,63.554618003835905,0.011218713049456843
EUR_USD,2011-04-07 21:00:00,1.44836,1.44882,1.43084,1.42916,62.765973012426024,59.44456573493854,0.01388497043956549
EUR_USD,2011-04-08 21:00:00,1.44732,1.44832,1.4483,1.44732,66.78526305118423,72.65191112670648,0.014939976351652406
EUR_USD,2011-04-09 21:00:00,1.44731,1.44832,1.44732,1.44441,65.6112098281452,80.92360489406143,0.012151981081321948
EUR_USD,2011-04-10 21:00:00,1.44358,1.44838,1.44725,1.4421,64.67751973856465,90.57743957027743,0.010515584865057565
EUR_USD,2011-04-11 21:00:00,1.44772,1.45192,1.44355,1.43779,62.94850509608453,81.83882746683248,0.010376467892046087
EUR_USD,2011-04-12 21:00:00,1.44429,1.45204,1.44776,1.44139,63.78503575440683,77.71761664826276,0.011151174313636889
EUR_USD,2011-04-13 21:00:00,1.44881,1.45143,1.44427,1.43656,61.84699624743687,71.95860288675209,0.010928939450909522
EUR_USD,2011-04-14 21:00:00,1.44303,1.45034,1.44886,1.43909,62.46498008997459,72.80445372303411,0.011499151560727599
EUR_USD,2011-04-15 21:00:00,1.44303,1.44303,1.44303,1.44303,63.419525678972796,73.945720250522,0.009987321248582091
EUR_USD,2011-04-16 21:00:00,1.44119,1.44303,1.44303,1.44088,62.52197657272799,76.1388270458905,0.007989856998865673
EUR_USD,2011-04-17 21:00:00,1.42344,1.44206,1.44123,1.41572,53.376959970169175,55.39723707894419,0.00662788559909253
EUR_USD,2011-04-18 21:00:00,1.43347,1.43532,1.42342,1.42058,54.70096501072395,34.970027473052674,0.009222308479273992
EUR_USD,2011-04-19 21:00:00,1.4523,1.45472,1.43351,1.43285,57.8287512323998,24.866636459644862,0.014205846783419206
EUR_USD,2011-04-20 21:00:00,1.45525,1.46485,1.45226,1.45057,61.77214753409354,43.50115917453453,0.017764677426735372
EUR_USD,2011-04-21 21:00:00,1.45672,1.45888,1.45529,1.45346,62.36588311369927,61.32973134164185,0.015873741941388308
EUR_USD,2011-04-22 21:00:00,1.45672,1.45672,1.45672,1.45672,63.03582511154681,73.6821614887487,0.013350993553110655
EUR_USD,2011-04-23 21:00:00,1.45624,1.45672,1.45672,1.45482,62.366455801152604,76.9913571595422,0.010680794842488524
EUR_USD,2011-04-24 21:00:00,1.4581,1.46268,1.45624,1.45258,61.56908789972169,76.26131580275087,0.010116635873990814
EUR_USD,2011-04-25 21:00:00,1.46439,1.46576,1.45806,1.44938,60.42734991574291,69.69600547138474,0.010729308699192646
EUR_USD,2011-04-26 21:00:00,1.47875,1.47949,1.46441,1.46332,63.47930939657833,67.89272348417008,0.014605446959354134
